"level","unit_id","unit_title","passage_id","passage_order","sentence_id","sentence_order","sentence_pattern_id","pattern_name","pattern_cefr","is_new_sentence_pattern","lesson_id","lesson_title","sentence","translation","grammar","occurrence_id","token_order","token_id","lexeme_id","sense_id","type","answer","lemma","prompt","prompt_type","partOfSpeech","dictionary_pos","context_pos","semanticRole","chunk_id","chunk_text","chunk_translation","chunk_order","chunk_note","pattern_id","kk_us","ipa_us","ipa_standalone","ipa_in_sentence","kk","ipa","syllables","stress_syllable","display_syllables","note","audio_method","audio_status","word_audio_source","audio_source","sentence_audio_source","license","is_new_word","is_new_pattern","is_new_combination","is_new_content","qa_status"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t01","1","i-i-pronoun","i","i-pronoun-01","word","I","i","我","meaning","pronoun 代名詞","pronoun 代名詞","pronoun 代名詞","指稱或限定","","","","","","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","TRUE","FALSE","TRUE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t02","2","have-have-auxiliary","have","have-auxiliary-01","word","have","have","已經／有","grammar","auxiliary verb 助動詞","auxiliary verb 助動詞","auxiliary verb 助動詞","動作或狀態","have-worked","have worked","已經工作","1","現在完成式表示從過去持續到現在的經驗。","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","TRUE","FALSE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t03","3","work-worked-verb","work","work-verb-01","word","worked","work","工作過","meaning","verb 動詞","verb 動詞","verb 動詞","動作或狀態","have-worked","have worked","已經工作","1","現在完成式表示從過去持續到現在的經驗。","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","TRUE","FALSE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t04","4","here-here-adverb","here","here-adverb-01","word","here","here","這裡","meaning","adverb 副詞","adverb 副詞","adverb 副詞","時間、方式或程度","","","","","","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t05","5","for-for-preposition","for","for-preposition-01","word","for","for","持續／為了","grammar","preposition 介系詞","preposition 介系詞","preposition 介系詞","片語關係","for-three-years","for three years","持續三年","2","for 加一段時間。","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","TRUE","FALSE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t06","6","three-three-number","three","three-number-01","word","three","three","三","meaning","number 數詞","number 數詞","number 數詞","核心內容","for-three-years","for three years","持續三年","2","for 加一段時間。","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","TRUE","TRUE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l01-s01","1","b1-u01-l01-pattern","present perfect with for","B1","TRUE","b1-u01-l01","持續至今的經驗","I have worked here for three years.","我在這裡工作三年了。","present perfect with for","b1-u01-l01-p01-s01-t07","7","year-years-noun","year","year-noun-01","word","years","year","年","meaning","noun 名詞","noun 名詞","noun 名詞","核心內容","for-three-years","for three years","持續三年","2","for 加一段時間。","b1-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","TRUE","TRUE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l02-s01","2","b1-u01-l02-pattern","present perfect with never","B1","TRUE","b1-u01-l02","談未曾有過的經驗","I have never traveled alone before.","我以前從未獨自旅行過。","present perfect with never","b1-u01-l02-p01-s01-t01","1","i-i-pronoun","i","i-pronoun-01","word","I","i","我","meaning","pronoun 代名詞","pronoun 代名詞","pronoun 代名詞","指稱或限定","","","","","","b1-u01-l02-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","TRUE","FALSE","TRUE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l02-s01","2","b1-u01-l02-pattern","present perfect with never","B1","TRUE","b1-u01-l02","談未曾有過的經驗","I have never traveled alone before.","我以前從未獨自旅行過。","present perfect with never","b1-u01-l02-p01-s01-t02","2","have-have-auxiliary","have","have-auxiliary-01","word","have","have","已經／有","grammar","auxiliary verb 助動詞","auxiliary verb 助動詞","auxiliary verb 助動詞","動作或狀態","have-never-traveled","have never traveled","從未旅行過","1","never 放在 have 與過去分詞之間。","b1-u01-l02-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","TRUE","FALSE","pilot_review_required"
"B1","b1-u01","經驗、回憶與故事順序","b1-u01-p01","1","b1-u01-l02-s01","2","b1-u01-l02-pattern","present perfect with never","B1","TRUE","b1-u01-l02","談未曾有過的經驗","I have never traveled alone before.","我以前從未獨自旅行過。","present perfect with never","b1-u01-l02-p01-s01-t03","3","never-never-adverb","never","never-adverb-01","word","never","never","從未","meaning","adverb 副詞","adverb 副詞","adverb 副詞","時間、方式或程度","have-never-traveled","have never traveled","從未旅行過","1","never 放在 have 與過去分詞之間。","b1-u01-l02-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","TRUE","TRUE","pilot_review_required"
